from_entity,to_entity,source_sheet,target_sheet,join_keys,cardinality,relationship_type,confidence,notes
lead,student,DSTest,DSHV,"MaSo | TenHV&MaSo | TenHV","1->0..1",conversion,high,"Lead được chuyển thành học viên chính thức"
student,class,DSHV,DSLop,"MaLop | TenLop","n->1",enrollment,high,"Mỗi học viên thuộc một lớp hoạt động tại một thời điểm"
class_session,class,ChiTietLopHoc,DSLop,"MaLop | TenLop","n->1",operates_on,high,"Mỗi dòng vận hành thuộc về một lớp"
class_session,employee,ChiTietLopHoc,NhanSu,"Giáo viên = Tên ngắn | Trợ giảng = Tên ngắn","n->1",staff_assignment,high,"Lookup đơn giá, ca giờ, tên nhân sự"
student,lead,DSHV,DSTest,"MaSo | TenHV&MaSo","0..1->1",enriched_from,high,"DSHV kéo ngược dữ liệu nền từ DSTest"
student,tuition_ledger,DSHV,TheoDoiHP,"MaSo","1->n",billing_subject,high,"Một học viên có nhiều kỳ học phí"
tuition_ledger,class_session,TheoDoiHP,ChiTietLopHoc,"TenLop | HP Tháng = Tháng | TTHoc","n->n",consumes_attendance,high,"Tính buổi nghỉ và số buổi phải thu"
tuition_ledger,student,TheoDoiHP,DSHV,"MaSo | Ten HV | TenHV&MaHV","n->1",student_lookup,high,"Lấy mã số, tình trạng học, đơn giá"
inventory_issue,inventory_item,XuatNhapSach,XuatNhapSach,"TenSach","n->1",stock_issue,high,"Phiếu xuất dùng item master từ tồn"
inventory_receipt,inventory_item,XuatNhapSach,XuatNhapSach,"TenSach","n->1",stock_receipt,high,"Phiếu nhập dùng item master từ tồn"
inventory_issue,tuition_ledger,XuatNhapSach,TheoDoiHP,"TenHV&MaHV | Ten HV | Tháng xuất = HP Tháng","n->1",material_fee,medium,"Tiền giáo trình cộng vào học phí tháng"
cash_receipt,tuition_ledger,Thu-Chi,TheoDoiHP,"Proposed: payment_id | student_id | billing_period","n->1",payment_posting,inferred,"Workbook chưa nối trực tiếp, ERP phải nối"
cash_payment,inventory_receipt,Thu-Chi,XuatNhapSach,"Proposed: voucher_no | receipt_id","n->1",vendor_payment,inferred,"Nên liên kết phiếu nhập với chi tiền"
payroll_entry,class_session,Report_Cong_Luong,ChiTietLopHoc,"Proposed: session_id | employee_id | work_date","n->n",payroll_summary,inferred,"Report công lương chỉ là tổng hợp từ buổi học"
class,lookup_program,DSLop,MucLuc,"MaLop","n->1",pricing_lookup,high,"Lấy học phí/buổi và buổi học/tuần"
