workbook_sheet,workbook_table,erp_module,canonical_entity,prisma_models,business_keys,api_routes,ui_routes,implementation_status,notes
DSTest,T_DSTest,CRM,"lead | guardian | placement_test","Lead | Guardian | PlacementTest | LeadInteraction | Appointment","MaSo | TenHV&MaSo","/api/leads | /api/leads/[id]/convert | /api/guardians","/leads | /leads/new | /leads/[id] | /guardians",implemented,"Nguồn lead đầu vào và test"
DSHV,T_HV,Student Lifecycle,"student | student_enrollment | student_status_snapshot","Student | StudentGuardian | Enrollment | EnrollmentStatusHistory | SchoolExamScore","MaSo | MaHV | TenHV&MaSo | TenHV&MaHV","/api/students | /api/enrollments","/students | /students/new | /students/[id]",implemented,"Không nên lưu trùng cột report tháng kiểu Excel"
DSLop,T_DSLop,Class Management,"class | class_task_rule","Course | Class | ScheduleRule | ClassTask | ClassTaskLog","MaLop | Ten lop","/api/classes | /api/courses | /api/schedule-rules | /api/class-tasks","/classes | /classes/new | /classes/[id]",implemented,"Đã tách danh mục khóa và lớp vận hành"
ChiTietLopHoc,T_ChiTietLop,Class Operations,"class_session | teaching_assignment | timesheet_entry","ClassSession | SessionAssignment | StudentAttendance | TimesheetEntry | TimesheetPeriod","Ngay thang | TenLop | ThoiGian | Buoi so","/api/sessions | /api/session-assignments | /api/timesheet-entries","/classes/[id]/sessions/[sessionId] | /timesheets | /calendar",implemented,"Lõi vận hành lớp và chấm công"
TheoDoiHP,T_HP,Tuition,"tuition_charge | tuition_payment | student_balance","BillingPeriod | FeePolicy | Charge | Invoice | Payment | PaymentAllocation | Scholarship | Adjustment | CreditBalance | Refund","MaSo | HP Tháng | Ten HV","/api/billing-periods | /api/charges | /api/payments","/tuition | /tuition/[id]",implemented_with_gap,"Thiếu nối cứng Payment sang CashTransaction"
XuatNhapSach,T_SachTon,Inventory,"inventory_item | inventory_balance","Book | StockLocation | StockTransaction","TenSach","/api/books | /api/books/[id]/stock-transactions","/inventory | /inventory/[id]",implemented,"Tồn kho và nhập kho tốt"
XuatNhapSach,T_SachNhap,Inventory,"inventory_receipt","Book | StockTransaction","TenSach | Ngày tháng","/api/books/[id]/stock-transactions","/inventory/[id]",implemented,"Nhập kho chuẩn hóa qua StockTransaction"
XuatNhapSach,T_SachXuat,Inventory,"inventory_issue | material_fee","BookIssue | Book | Charge?","TenHV&MaHV | TenSach | Tháng xuất","/api/books/[id]/issues","/inventory/[id]",partial,"Nên nối thêm chargeId để khớp giáo trình vào công nợ"
Thu-Chi,T_Thu,Cashbook,"cash_receipt","TransactionCategory | CashTransaction","Ngày tháng | Loại thu | Diễn giải","/api/cash-transactions | /api/cash-categories","/cashbook",implemented,"Đã có module sổ quỹ"
Thu-Chi,T_Chi,Cashbook,"cash_payment","TransactionCategory | CashTransaction","Ngày tháng | Loại chi | Diễn giải","/api/cash-transactions | /api/cash-categories","/cashbook",implemented,"Đã có module sổ quỹ"
Thu-Chi,T_PhanLoai,Cashbook,"cash_category","TransactionCategory","LoaiHinh | TenThuChi | ChiTietLoai","/api/cash-categories","/cashbook",implemented,"Danh mục loại thu chi"
NhanSu,T_NS,HR/Payroll,"employee | pay_rate | contract","Employee | EmploymentContract | PayPolicy","Mã NV | Tên ngắn","/api/employees","/payroll/employees/[id]",implemented,"Tên ngắn là khóa lookup quan trọng từ Excel"
MucLuc,Table1,Lookup,"lookup_time_slot","Course? | ScheduleRule","KhungTG | ThoiGian","n/a","n/a",covered_in_schema,"Dữ liệu giờ học đang được hấp thụ vào lịch lớp"
MucLuc,Table2,Lookup,"lookup_program","Course","MaLop","/api/courses","phụ thuộc /classes",implemented,"Học phí/buổi và số buổi/tuần"
MucLuc,Table3,Lookup,"lookup_weekday","ScheduleRule","MaThu | TenThu","n/a","/calendar",implicit,"Lookup thứ trong tuần chưa tách bảng riêng"
Report_Cong_Luong,n/a,Reporting,"payroll_summary","PayrollRun | PayrollLine","periodName | employeeId","/api/payroll-runs | /api/payroll-lines","/payroll | /payroll/[id]",implemented,"Report hóa từ session/timesheet"
Report_HS,n/a,Reporting,"student_summary","Student | Enrollment | Attendance derived","branchId | classId | period","n/a","/reports",partial,"Cần đối soát số liệu với workbook"
Report_HP,n/a,Reporting,"tuition_summary","Charge | Payment | BillingPeriod derived","billingPeriodId | classId","n/a","/reports",partial,"Cần parity test với Excel"
SinhNhatHV,n/a,Reporting,"birthday_alert","Student","dob | branchId","n/a","/reports",partial,"Có thể dựng từ Student.dob"
Home,Table19,System,"system_navigation","n/a","n/a","n/a","sidebar/dashboard",reference_only,"Chỉ là sheet điều hướng"
